,experience,train,epoch,itrs,loss,accuracy
18,base_cnn_augmented_data,0,1,20000,1.5852065429538489,0
19,base_cnn_augmented_data,1,1,20000,1.669051043987274,0
20,base_cnn_augmented_data,0,1,22000,1.5869947742968797,0
21,base_cnn_augmented_data,1,1,22000,1.6776178431510926,0
22,base_cnn_augmented_data,0,1,24000,1.5309478437453508,0
23,base_cnn_augmented_data,1,1,24000,1.6542275047302246,0
24,base_cnn_augmented_data,0,1,26000,1.5282771679162979,0
25,base_cnn_augmented_data,1,1,26000,1.6670221495628357,0
26,base_cnn_augmented_data,0,1,28000,1.5002482578754426,0
27,base_cnn_augmented_data,1,1,28000,1.5792915916442871,0
28,base_cnn_augmented_data,0,1,30000,1.497549814403057,0
29,base_cnn_augmented_data,1,1,30000,1.6631471562385558,0
30,base_cnn_augmented_data,0,1,32000,1.4875568142831326,0
31,base_cnn_augmented_data,1,1,32000,1.591034960746765,0
32,base_cnn_augmented_data,0,1,34000,1.4586242796033622,0
33,base_cnn_augmented_data,1,1,34000,1.585948214530945,0
34,base_cnn_augmented_data,0,1,36000,1.4539177452623844,0
35,base_cnn_augmented_data,1,1,36000,1.5706689548492432,0
36,base_cnn_augmented_data,0,2,2000,1.447264106914401,0
37,base_cnn_augmented_data,1,2,2000,1.564271991252899,0
38,base_cnn_augmented_data,0,2,4000,1.428910534068942,0
39,base_cnn_augmented_data,1,2,4000,1.5553205633163452,0
40,base_cnn_augmented_data,0,2,6000,1.4058560698032379,0
41,base_cnn_augmented_data,1,2,6000,1.5407251691818238,0
42,base_cnn_augmented_data,0,2,8000,1.3909546884298325,0
43,base_cnn_augmented_data,1,2,8000,1.5028695678710937,0
44,base_cnn_augmented_data,0,2,10000,1.4098738773614168,0
45,base_cnn_augmented_data,1,2,10000,1.5656525230407714,0
46,base_cnn_augmented_data,0,2,12000,1.3805992308557034,0
47,base_cnn_augmented_data,1,2,12000,1.610412402153015,0
48,base_cnn_augmented_data,0,2,14000,1.3730923779159785,0
49,base_cnn_augmented_data,1,2,14000,1.555400333404541,0
50,base_cnn_augmented_data,0,2,16000,1.4032340793907643,0
51,base_cnn_augmented_data,1,2,16000,1.5522641611099244,0
52,base_cnn_augmented_data,0,2,18000,1.359493873849511,0
53,base_cnn_augmented_data,1,2,18000,1.5423665595054628,0
54,base_cnn_augmented_data,0,2,20000,1.3585265950113534,0
55,base_cnn_augmented_data,1,2,20000,1.5258693981170655,0
56,base_cnn_augmented_data,0,2,22000,1.3506602186709642,0
57,base_cnn_augmented_data,1,2,22000,1.4934910726547241,0
58,base_cnn_augmented_data,0,2,24000,1.3548413222879172,0
59,base_cnn_augmented_data,1,2,24000,1.5580479836463927,0
60,base_cnn_augmented_data,0,2,26000,1.3563091263473035,0
61,base_cnn_augmented_data,1,2,26000,1.5394855737686157,0
62,base_cnn_augmented_data,0,2,28000,1.3553203263431788,0
63,base_cnn_augmented_data,1,2,28000,1.5742017459869384,0
64,base_cnn_augmented_data,0,2,30000,1.337758658349514,0
65,base_cnn_augmented_data,1,2,30000,1.4752384185791017,0
66,base_cnn_augmented_data,0,2,32000,1.3155140158087015,0
67,base_cnn_augmented_data,1,2,32000,1.5263322257995606,0
68,base_cnn_augmented_data,0,2,34000,1.3284576426893473,0
69,base_cnn_augmented_data,1,2,34000,1.4545927453041076,0
70,base_cnn_augmented_data,0,2,36000,1.3151864859461784,0
71,base_cnn_augmented_data,1,2,36000,1.461778190135956,0
72,base_cnn_augmented_data,0,3,2000,1.2691130066365004,0
73,base_cnn_augmented_data,1,3,2000,1.5599821734428405,0
74,base_cnn_augmented_data,0,3,4000,1.2739373024106027,0
75,base_cnn_augmented_data,1,3,4000,1.528362729549408,0
76,base_cnn_augmented_data,0,3,6000,1.2834419066160918,0
77,base_cnn_augmented_data,1,3,6000,1.5589440655708313,0
78,base_cnn_augmented_data,0,3,8000,1.2994876153469086,0
79,base_cnn_augmented_data,1,3,8000,1.564854838848114,0
80,base_cnn_augmented_data,0,3,10000,1.291547587558627,0
81,base_cnn_augmented_data,1,3,10000,1.5334531784057617,0
82,base_cnn_augmented_data,0,3,12000,1.292547862291336,0
83,base_cnn_augmented_data,1,3,12000,1.536339178085327,0
84,base_cnn_augmented_data,0,3,14000,1.2716090758889913,0
85,base_cnn_augmented_data,1,3,14000,1.4576242685317993,0
86,base_cnn_augmented_data,0,3,16000,1.2664088954478503,0
87,base_cnn_augmented_data,1,3,16000,1.5093330717086793,0
88,base_cnn_augmented_data,0,3,18000,1.2764014526903629,0
89,base_cnn_augmented_data,1,3,18000,1.4419693279266357,0
90,base_cnn_augmented_data,0,3,20000,1.2628781315386295,0
91,base_cnn_augmented_data,1,3,20000,1.47237628698349,0
92,base_cnn_augmented_data,0,3,22000,1.2875938562750817,0
93,base_cnn_augmented_data,1,3,22000,1.5043904638290406,0
94,base_cnn_augmented_data,0,3,24000,1.291904940187931,0
95,base_cnn_augmented_data,1,3,24000,1.5012176060676574,0
96,base_cnn_augmented_data,0,3,26000,1.2549796406030655,0
97,base_cnn_augmented_data,1,3,26000,1.4652120757102967,0
98,base_cnn_augmented_data,0,3,28000,1.2635844283550979,0
99,base_cnn_augmented_data,1,3,28000,1.46344514131546,0
100,base_cnn_augmented_data,0,3,30000,1.280034101486206,0
101,base_cnn_augmented_data,1,3,30000,1.5448013973236083,0
102,base_cnn_augmented_data,0,3,32000,1.2469285497069358,0
103,base_cnn_augmented_data,1,3,32000,1.4865682625770569,0
104,base_cnn_augmented_data,0,3,34000,1.2543114691078663,0
105,base_cnn_augmented_data,1,3,34000,1.460591447353363,0
106,base_cnn_augmented_data,0,3,36000,1.2603855575323104,0
107,base_cnn_augmented_data,1,3,36000,1.5504531097412109,0
108,base_cnn_augmented_data,0,4,2000,1.237236662134528,0
109,base_cnn_augmented_data,1,4,2000,1.5588252139091492,0
110,base_cnn_augmented_data,0,4,4000,1.2280169967263936,0
111,base_cnn_augmented_data,1,4,4000,1.5452431082725524,0
112,base_cnn_augmented_data,0,4,6000,1.2177097924053668,0
113,base_cnn_augmented_data,1,4,6000,1.4187856554985045,0
114,base_cnn_augmented_data,0,4,8000,1.217544513463974,0
115,base_cnn_augmented_data,1,4,8000,1.4862822008132934,0
116,base_cnn_augmented_data,0,4,10000,1.2427958920300006,0
117,base_cnn_augmented_data,1,4,10000,1.459955654144287,0
118,base_cnn_augmented_data,0,4,12000,1.2085165077000857,0
119,base_cnn_augmented_data,1,4,12000,1.3792580342292786,0
120,base_cnn_augmented_data,0,4,14000,1.2103760855793952,0
121,base_cnn_augmented_data,1,4,14000,1.5158876490592956,0
122,base_cnn_augmented_data,0,4,16000,1.257787641465664,0
123,base_cnn_augmented_data,1,4,16000,1.3903093123435974,0
124,base_cnn_augmented_data,0,4,18000,1.221634373947978,0
125,base_cnn_augmented_data,1,4,18000,1.4509969902038575,0
126,base_cnn_augmented_data,0,4,20000,1.2053430953919888,0
127,base_cnn_augmented_data,1,4,20000,1.392196409702301,0
128,base_cnn_augmented_data,0,4,22000,1.2312526077777148,0
129,base_cnn_augmented_data,1,4,22000,1.4870493912696838,0
130,base_cnn_augmented_data,0,4,24000,1.232038597151637,0
131,base_cnn_augmented_data,1,4,24000,1.4436691045761108,0
132,base_cnn_augmented_data,0,4,26000,1.1980414204895495,0
133,base_cnn_augmented_data,1,4,26000,1.465474157333374,0
134,base_cnn_augmented_data,0,4,28000,1.2112143502682446,0
135,base_cnn_augmented_data,1,4,28000,1.5351475524902343,0
136,base_cnn_augmented_data,0,4,30000,1.2357939638942481,0
137,base_cnn_augmented_data,1,4,30000,1.3695578384399414,0
138,base_cnn_augmented_data,0,4,32000,1.2207337187826632,0
139,base_cnn_augmented_data,1,4,32000,1.448895652294159,0
140,base_cnn_augmented_data,0,4,34000,1.188098810121417,0
141,base_cnn_augmented_data,1,4,34000,1.5423227834701538,0
142,base_cnn_augmented_data,0,4,36000,1.2172320154756309,0
143,base_cnn_augmented_data,1,4,36000,1.4558907318115235,0
144,base_cnn_augmented_data,0,0,0,0.0,64.19
0,base_cnn_xavier_normal,0,1,2000,2.0562511829435826,0
1,base_cnn_xavier_normal,1,1,2000,1.9053315353393554,0
2,base_cnn_xavier_normal,0,1,4000,1.8190362155139446,0
3,base_cnn_xavier_normal,1,1,4000,1.7819362664222718,0
4,base_cnn_xavier_normal,0,1,6000,1.7495404281020164,0
5,base_cnn_xavier_normal,1,1,6000,1.7777308964729308,0
6,base_cnn_xavier_normal,0,1,8000,1.6876649297177793,0
7,base_cnn_xavier_normal,1,1,8000,1.7447177457809449,0
8,base_cnn_xavier_normal,0,1,10000,1.6730664772093296,0
9,base_cnn_xavier_normal,1,1,10000,1.7198610639572143,0
10,base_cnn_xavier_normal,0,1,12000,1.6179221329838038,0
11,base_cnn_xavier_normal,1,1,12000,1.6717448663711547,0
12,base_cnn_xavier_normal,0,1,14000,1.6007266010642052,0
13,base_cnn_xavier_normal,1,1,14000,1.7176424264907837,0
14,base_cnn_xavier_normal,0,1,16000,1.5813225454986095,0
15,base_cnn_xavier_normal,1,1,16000,1.6783578562736512,0
16,base_cnn_xavier_normal,0,1,18000,1.5597417584955693,0
17,base_cnn_xavier_normal,1,1,18000,1.7605814123153687,0
18,base_cnn_xavier_normal,0,1,20000,1.5459250414967536,0
19,base_cnn_xavier_normal,1,1,20000,1.7181967210769653,0
20,base_cnn_xavier_normal,0,1,22000,1.5255670002549886,0
21,base_cnn_xavier_normal,1,1,22000,1.6520978426933288,0
22,base_cnn_xavier_normal,0,1,24000,1.5262273766845464,0
23,base_cnn_xavier_normal,1,1,24000,1.61934241771698,0
24,base_cnn_xavier_normal,0,1,26000,1.5075928994119168,0
25,base_cnn_xavier_normal,1,1,26000,1.7453943252563477,0
